date,EU-28 (excl NL),Austria,Belgium,Bulgaria,Czech Republic,Denmark,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,United Kingdom
22/01/2015,0.27887564,0.119458352,0.035696831,0.730673766,0.537911668,0.352293542,0.166046778,0.039875584,0.530164019,0.407570272,0.153903072,0.226365709,0,0.869489169,0.24787003,0.352031477,0.258313712,0.41904852,0.235558739,0.334364879
23/01/2015,0.279735604,0.1143005,0.035967731,0.716237051,0.550050615,0.3943123,0.16279563,0.039994437,0.543481463,0.417297725,0.15226932,0.16982177,0,0.865957692,0.252998559,0.351955287,0.170681575,0.231726348,0.239334605,0.344377982
24/01/2015,0.270674242,0.048368435,0.039089751,0.69332824,0.593222957,0.376617159,0.091622933,0.040731732,0.557432977,0.422554446,0.129748322,0.209680187,0,0.833240206,0.277080658,0.364297331,0.113228689,0.261169343,0.209348387,0.308177574
25/01/2015,0.270316351,0.038847575,0.040431307,0.704057403,0.579925432,0.415063724,0.096493621,0.041348538,0.58593446,0.416298642,0.133294438,0.159640486,0,0.824110997,0.290751046,0.405988856,0.151933075,0.170140591,0.158779925,0.312472917
26/01/2015,0.268803457,0.064856749,0.0380927,0.678604961,0.571168588,0.408889257,0.096682902,0.040316795,0.502401349,0.403217342,0.146459384,0.197176308,0,0.831665542,0.260010722,0.346932491,0.182036176,0.255828942,0.226437343,0.328174557
27/01/2015,0.269999581,0.101306796,0.027154558,0.67627987,0.53757442,0.36457254,0.099581331,0.041722378,0.479035638,0.416601143,0.149732875,0.216211795,0,0.817843821,0.267755085,0.329783058,0.227563859,0.345736458,0.238272454,0.354897988
28/01/2015,0.248608038,0.084286826,0.010206865,0.662920126,0.507589892,0.31807532,0.093013452,0.036400063,0.417416127,0.416658489,0.153237177,0.145260751,0,0.803364033,0.259653516,0.29875029,0.231436283,0.364398215,0.224595734,0.327268654
29/01/2015,0.238580278,0.08596515,0.007974113,0.68236675,0.51968418,0.348756128,0.095433627,0.028202335,0.404545691,0.431280979,0.151543136,0.128130405,0,0.777839809,0.255892962,0.30890907,0.243017032,0.366604642,0.138612698,0.342872816
30/01/2015,0.250702213,0.115262779,0.013469033,0.635412849,0.561412333,0.465677747,0.087957474,0.031734066,0.523590689,0.398058792,0.152332352,0.176940269,0,0.81078929,0.206856827,0.282929968,0.191422733,0.249773069,0.051737845,0.333990998
31/01/2015,0.244342498,0.046290654,0.020193098,0.678249018,0.569460989,0.473349374,0.087326538,0.027670944,0.562587681,0.383471981,0.166821475,0.146335514,0,0.788373976,0.056903671,0.259974456,0.175249168,0.206439117,0.041258782,0.31148288
01/02/2015,0.238441621,0.046079371,0.020799055,0.553677548,0.54941372,0.444682937,0.085470897,0.030214351,0.552918243,0.349259673,0.17607131,0.205741585,0,0.768299495,0.08280223,0.305616301,0.155599677,0.158648301,0.045720327,0.313596179
02/02/2015,0.25488553,0.084472844,0.019264408,0.591693792,0.52464082,0.451239327,0.102179197,0.041125114,0.513620685,0.313277454,0.156099646,0.220821856,0,0.805225347,0.226754425,0.25680277,0.218057951,0.319365776,0.13182506,0.338815786
03/02/2015,0.262596499,0.081794279,0.018810749,0.592732339,0.564512183,0.424708438,0.148935252,0.040570258,0.527472397,0.294233509,0.117723495,0.220468311,0,0.847386081,0.223262195,0.235893807,0.23455832,0.3495383,0.1460659,0.359792096
